"","Encounter1","Encounter2","Encounter3"
"indPM1.3",1,1,1
"indPM2.3",0,0,1
"indPM1.2",1,1,1
"indPM2.2",1,0,0
"indPM3.2",0,1,0
"indPM4.2",0,0,1
"indPM5.2",0,0,1
"indPM1.1",1,1,0
"indPM2.1",1,1,0
"indPM3.1",1,0,1
