"","Encounter1","Encounter2","Encounter3"
"indPM1.6",0,1,1
"indPM2.6",0,1,1
"indPM1.5",1,0,0
"indPM2.5",1,1,1
"indPM3.5",1,0,0
"indPM4.5",1,0,0
"indPM5.5",0,1,1
"indPM6.5",0,0,1
"indPM1.4",1,1,1
"indPM2.4",1,0,1
"indPM3.4",1,1,1
"indPM4.4",0,1,1
